Kernel,C,Gamma,Precision,Recall,F1
linear,0.1,1,0.6971822469464264,0.8631531666417128,0.7713406475782715
linear,0.1,0.1,0.6977562158884172,0.8613564904925887,0.7709729295095148
linear,0.1,0.01,0.6909266176647789,0.8585117532564756,0.7656562959006544
linear,0.1,0.001,0.6924280727097628,0.8612067674801617,0.7676498064860535
linear,1.0,1,0.7610631055250066,0.8703398712382093,0.812041628832856
linear,1.0,0.1,0.7630543164523748,0.8707890402754903,0.813369694426963
linear,1.0,0.01,0.7606635071090048,0.865099565803264,0.8095271453590193
linear,1.0,0.001,0.7675033025099075,0.8698907022009282,0.8154958242683696
linear,10.0,1,0.7873655913978495,0.8770774067974247,0.8298038104681634
linear,10.0,0.1,0.7866720300348619,0.8784249139092678,0.8300205135460139
linear,10.0,0.01,0.7919698194556724,0.880071867045965,0.8336997376072619
linear,10.0,0.001,0.7921166306695464,0.8785746369216949,0.8331085397884574
linear,100.0,1,0.7991047205642974,0.8820182662075161,0.8385168315422391
linear,100.0,0.1,0.7956871843865156,0.8728851624494685,0.8325003569898615
linear,100.0,0.01,0.7994554118447924,0.8791735289714029,0.8374215630347974
linear,100.0,0.001,0.7949518252137332,0.8770774067974247,0.8339977220956719
linear,1000.0,1,0.8041462084015275,0.8827668812696512,0.8416244379416173
linear,1000.0,0.1,0.7964432284541724,0.8716873783500524,0.8323682893702196
linear,1000.0,0.01,0.8046244356273088,0.880521036083246,0.8408635973691735
linear,1000.0,0.001,0.8043120021971986,0.8769276837849977,0.8390516438650527
poly,0.1,1,0.7291558777835319,0.8432400059889205,0.782059293202805
poly,0.1,0.1,0.0,0.0,0.0
poly,0.1,0.01,0.0,0.0,0.0
poly,0.1,0.001,0.0,0.0,0.0
poly,1.0,1,0.7765243083534784,0.865698457852972,0.8186902654867256
poly,1.0,0.1,0.736709351959643,0.5684982781853571,0.6417645567480775
poly,1.0,0.01,0.0,0.0,0.0
poly,1.0,0.001,0.0,0.0,0.0
poly,10.0,1,0.8008746754134208,0.8773768528222787,0.8373821091740496
poly,10.0,0.1,0.6537110481586402,0.8637520586914209,0.7441950464396285
poly,10.0,0.01,0.0,0.0,0.0
poly,10.0,0.001,0.0,0.0,0.0
poly,100.0,1,0.8100285364859355,0.8924988770774068,0.8492662772474712
poly,100.0,0.1,0.7226522187822497,0.8387483156161102,0.7763841729609868
poly,100.0,0.01,0.0,0.0,0.0
poly,100.0,0.001,0.0,0.0,0.0
poly,1000.0,1,0.8331284992489417,0.9134600988171881,0.8714469361519782
poly,1000.0,0.1,0.7809626825310979,0.86480011977841,0.8207460035523979
poly,1000.0,0.01,0.7211521776852334,0.6222488396466537,0.6680597974602154
poly,1000.0,0.001,0.0,0.0,0.0
rbf,0.1,1,0.7262025316455696,0.8589609222937565,0.7870224295219149
rbf,0.1,0.1,0.6346458355325663,0.9001347507111843,0.7444279346210997
rbf,0.1,0.01,0.8405017921146953,0.2808803713130708,0.4210526315789474
rbf,0.1,0.001,0.0,0.0,0.0
rbf,1.0,1,0.7765096217650962,0.8760293457104357,0.8232728296046151
rbf,1.0,0.1,0.7258614161302537,0.8610570444677347,0.787700315025339
rbf,1.0,0.01,0.6377165940257256,0.8981883515496332,0.7458659704090513
rbf,1.0,0.001,0.7995337995337995,0.35948495283725107,0.4959719066308613
rbf,10.0,1,0.8060227889310906,0.8896541398412936,0.8457761013451
rbf,10.0,0.1,0.7768023410481512,0.8743823925737386,0.8227090230330353
rbf,10.0,0.01,0.7228946041351487,0.8585117532564756,0.7848880980083499
rbf,10.0,0.001,0.6366723259762309,0.8983380745620602,0.7452027572502018
rbf,100.0,1,0.8200819672131148,0.8987872435993413,0.8576326880491464
rbf,100.0,0.1,0.7986486486486486,0.8848630034436293,0.8395482633709781
rbf,100.0,0.01,0.7724558843040997,0.8716873783500524,0.8190770962296005
rbf,100.0,0.001,0.7219487567840465,0.8564156310824974,0.7834543213258458
rbf,1000.0,1,0.8363611528479716,0.9167540050905825,0.8747142857142858
rbf,1000.0,0.1,0.8080010885834807,0.8890552477915855,0.8465925292272597
rbf,1000.0,0.01,0.7941376034740127,0.8761790687228627,0.8331435079726651
rbf,1000.0,0.001,0.7773945343592464,0.8773768528222787,0.8243651965956248
sigmoid,0.1,1,0.6611487612487501,0.8910016469531367,0.7590561224489796
sigmoid,0.1,0.1,0.5999236131003532,0.940709687078904,0.7326259328358209
sigmoid,0.1,0.01,0.0,0.0,0.0
sigmoid,0.1,0.001,0.0,0.0,0.0
sigmoid,1.0,1,0.7474180798163967,0.8776762988471328,0.8073268144883624
sigmoid,1.0,0.1,0.6942528735632184,0.8591106453061835,0.7679336188436832
sigmoid,1.0,0.01,0.6030843373493976,0.9368168887558017,0.73378679488683
sigmoid,1.0,0.001,0.0,0.0,0.0
sigmoid,10.0,1,0.7193750912541977,0.7376852822278784,0.7284151389710232
sigmoid,10.0,0.1,0.7679674155827092,0.8751310076358736,0.8180545836249126
sigmoid,10.0,0.01,0.6949173004949898,0.8618056595298698,0.769415853495522
sigmoid,10.0,0.001,0.6019007391763463,0.9387632879173529,0.733504913430042
sigmoid,100.0,1,0.717652224824356,0.7340919299296302,0.7257789948930502
sigmoid,100.0,0.1,0.7921431454325306,0.881569097170235,0.8344671201814059
sigmoid,100.0,0.01,0.7630194634402946,0.8686929181015122,0.8124343625288803
sigmoid,100.0,0.001,0.6976687712481787,0.8603084294055996,0.7704994971505197
sigmoid,1000.0,1,0.7172989600117182,0.7331935918550682,0.725159188508811
sigmoid,1000.0,0.1,0.7877110827302398,0.8311124419823327,0.8088299577444267
sigmoid,1000.0,0.01,0.7939671424723943,0.8827668812696512,0.83601559730592
sigmoid,1000.0,0.001,0.7694638387564221,0.8745321155861656,0.8186405045550105
